Period,Play #,Q,Start Duration,Stop Duration,Start Time,Stop Time,,
,166,4,1:16:01,1:16:15,23:11:14,23:11:28,,
,167,4,0:16:47,0:16:52,23:12:00,23:12:05,,
,168,4,0:17:18,0:17:23,23:12:31,23:12:36,,
,169,4,0:17:57,0:18:03,23:13:10,23:13:16,,
Period 12,170,4,1:18:46,1:18:53,23:13:59,23:14:06,,
,171,4,1:21:56,1:22:02,23:17:09,23:17:15,,
,172,4,1:22:21,1:22:24,23:17:34,23:17:37,,
,173,4,1:22:57,1:23:01,23:18:10,23:18:14,,
,174,4,1:23:24,1:23:29,23:18:37,23:18:42,,
,175,4,1:23:59,1:24:04,23:19:12,23:19:17,,
,176,4,1:24:32,1:24:36,23:19:45,23:19:49,,
,177,4,1:25:01,1:25:05,23:20:14,23:20:18,,
,178,4,1:25:34,1:25:40,23:20:47,23:20:53,,
,179,4,1:26:16,1:26:20,23:21:29,23:21:33,,
,180,4,1:26:45,1:26:53,23:21:58,23:22:06,,
,181,4,1:27:15,1:27:18,23:22:28,23:22:31,,
